,Country,Dist,ReleaseDate,OpeningWknd,PercentTotal,TotalGross,TotalGrossDate,UsDist,UsRelease,Genre,Runtime,MpaaRating,ProdBudget
0,Argentina,Disney,2/18/16,"$1,886,816",21.6%,"$8,745,000",6/12/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
1,Australia,Disney,3/17/16,"$3,223,798",15.1%,"$21,364,382",7/10/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
2,Austria,Disney,3/3/16,"$698,909",18.7%,"$3,735,647",7/10/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
3,Belgium,Disney,2/10/16,"$1,275,034",28.5%,"$4,467,463",7/10/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
4,Bolivia,Disney,2/18/16,"$124,530",13.7%,"$909,666",4/17/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
5,Brazil,Disney,3/17/16,"$2,574,107",24.2%,"$10,657,941",7/3/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
6,Bulgaria,Forum Films,3/4/16,"$236,098",23.4%,"$1,010,473",7/10/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
7,Chile,Disney,2/18/16,-,-,"$4,266,919",4/17/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
8,China,-,3/4/16,"$23,627,192",10%,"$235,591,000",6/12/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
9,Colombia,Disney,2/18/16,"$1,072,350",20.1%,"$5,330,391",4/17/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
10,Croatia,Disney,3/3/16,"$76,121",26.9%,"$283,126",4/17/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
11,Czech Republic,Falcon,2/25/16,"$34,940",2.5%,"$1,415,576",7/3/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
12,Denmark,Disney,2/12/16,"$437,245",10.9%,"$4,008,471",7/10/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
13,Ecuador,Disney,2/26/16,-,-,"$2,494,960",4/17/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
14,Estonia,Disney,3/4/16,"$90,888",23.1%,"$393,779",4/17/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
15,Finland,Disney,3/4/16,"$325,424",19.6%,"$1,656,196",7/10/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
16,France,Disney,2/17/16,"$8,126,218",25.5%,"$31,845,430",7/10/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
17,Germany,Disney,3/3/16,"$6,617,686",19.5%,"$33,968,995",7/10/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
18,Greece,Disney,3/3/16,"$194,629",20.6%,"$944,722",4/17/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
19,Hong Kong,Disney,3/24/16,"$1,453,055",20.6%,"$7,043,370",6/26/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
20,Hungary,Forum Films,3/4/16,"$270,652",18.6%,"$1,456,306",5/1/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
21,Iceland,Samfilm,2/26/16,"$54,804",17.5%,"$313,044",7/3/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
22,India,-,N/A,-,-,"$1,699,000",6/12/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
23,Israel,Disney,3/24/16,"$558,877",33.8%,"$1,653,780",4/17/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
24,Italy,Disney,2/18/16,"$3,124,874",24.6%,"$12,705,219",7/10/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
25,Japan,Disney,4/23/16,"$3,988,949",5.7%,"$70,127,286",7/10/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
26,Lebanon,Disney,3/3/16,"$26,620",15.9%,"$167,388",4/17/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
27,Lithuania,Disney,3/4/16,"$69,439",18%,"$384,768",6/12/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
28,Malaysia,Disney,2/25/16,"$663,404",21.2%,"$3,134,000",6/12/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
29,Mexico,Disney,2/19/16,"$4,564,709",26.8%,"$17,050,000",6/12/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
30,Netherlands,Disney,2/17/16,"$578,535",10%,"$5,798,474",7/10/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
31,New Zealand,Disney,3/24/16,"$183,675",6.9%,"$2,662,000",6/12/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
32,Norway,Disney,2/26/16,"$515,007",20.2%,"$2,551,192",7/10/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
33,Oman,-,3/3/16,"$19,826",21%,"$94,375",4/3/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
34,Peru,Disney,2/18/16,"$1,195,178",28.2%,"$4,242,507",4/10/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
35,Philippines,Disney,2/17/16,-,-,"$1,022,000",6/12/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
36,Poland,Disney,2/19/16,-,-,"$5,926,835",7/10/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
37,Portugal,Disney,2/25/16,"$338,882",16.3%,"$2,078,512",7/17/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
38,Romania,Forum Films,3/4/16,"$186,761",14.7%,"$1,272,421",7/10/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
39,Russia - CIS,Disney,3/3/16,"$7,834,448",24.3%,"$32,218,703",7/3/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
40,Serbia & Montenegro,Disney,3/3/16,"$36,455",25.5%,"$143,051",4/17/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
41,Singapore,Disney,2/25/16,"$704,725",16.1%,"$4,370,000",6/12/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
42,Slovakia,Saturn,2/25/16,"$29,818",3.4%,"$879,904",7/3/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
43,Slovenia,2i Film,3/3/16,"$32,897",17.5%,"$188,469",7/17/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
44,South Africa,Ster Kinekor,3/4/16,"$245,021",16.4%,"$1,494,201",5/15/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
45,South Korea,Disney,2/17/16,"$2,050,725",6.6%,"$31,258,786",6/19/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
46,Spain,Disney,2/12/16,"$3,113,087",20.6%,"$15,148,640",7/10/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
47,Sweden,Disney,2/24/16,"$1,330,108",19.3%,"$6,886,783",7/10/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
48,Switzerland,Disney,2/17/16,-,-,"$5,061,669",7/10/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
49,Switzerland (French-speaking),Disney,2/17/16,"$277,667",16.8%,"$1,655,928",5/1/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
50,Switzerland (German-speaking),Disney,3/3/16,"$640,676",19.4%,"$3,303,486",5/15/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
51,Taiwan,Disney,2/26/16,"$702,650",7.9%,"$8,850,230",6/19/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
52,Thailand,Disney,2/25/16,"$656,157",18.6%,"$3,523,000",6/12/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
53,Turkey,UIP,6/10/16,"$307,326",22.3%,"$1,379,630",7/17/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
54,Ukraine,Disney,3/17/16,"$708,229",33.5%,"$2,116,321",6/5/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
55,United Arab Emirates,Disney,3/3/16,"$476,705",23.2%,"$2,057,383",7/10/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
56,United Kingdom,Disney,3/25/16,"$7,502,688",22.1%,"$33,903,452",7/10/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
57,Uruguay,Disney,2/18/16,"$65,444",14.1%,"$463,743",4/17/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
58,Venezuela,Disney,2/19/16,"$142,591",8.8%,"$1,628,000",6/12/16,Buena Vista,N/A,PG,"March 4, 2016",1 hrs. 48 min.,Animation
